"dyad","partner","id","phase","time","timephase","timephase.r","ibi.basec","b.ibi.basec"
666,"A","666.A","femalereceive",62,2,1,-5.72600579999994,-3.87329976666661
666,"A","666.A","femalereceive",63,3,2,40.6906612,92.2655892333333
666,"A","666.A","femalereceive",64,4,3,72.1906612,22.7933672333334
666,"A","666.A","femalereceive",65,5,4,69.8124562,-24.6510777666666
666,"A","666.A","femalereceive",66,6,5,72.1906612,-8.98441076666666
666,"A","666.A","femalereceive",67,7,6,139.0921762,67.4600332333333
666,"A","666.A","femalereceive",68,8,7,223.3739942,57.7933672333334
666,"A","666.A","femalereceive",69,9,8,137.5239942,54.7933672333334
666,"A","666.A","femalereceive",70,10,9,71.8573272000001,-20.4844107666667
666,"A","666.A","femalereceive",71,11,10,124.0012672,47.7655892333333
666,"A","666.A","femalereceive",72,12,11,118.4406612,18.3489222333334
666,"A","666.A","femalereceive",73,13,12,40.0432252000001,-47.9844107666667
666,"A","666.A","femalereceive",74,14,13,109.3649032,-14.5844107666667
666,"A","666.A","femalereceive",75,15,14,87.7739942000001,-74.1844107666667
666,"A","666.A","femalereceive",76,16,15,84.8573272000001,27.5711452333334
666,"A","666.A","femalereceive",77,17,16,63.4278402000001,41.5155892333333
666,"A","666.A","femalereceive",78,18,17,-6.72600579999994,30.2378112333333
666,"A","666.A","femalereceive",79,19,18,-16.6545768,-2.48441076666666
666,"A","666.A","femalereceive",80,20,19,7.48828020000008,-90.4844107666667
666,"A","666.A","femalereceive",81,21,20,-29.4402918,69.0155892333333
666,"A","666.A","femalereceive",82,22,21,-31.2974347999999,17.4600332333333
666,"A","666.A","femalereceive",83,23,22,-17.9260058,25.6822562333333
666,"A","666.A","femalereceive",84,24,23,-24.2974347999999,-8.65107776666662
666,"A","666.A","femalereceive",85,25,24,99.6906612,-21.3844107666666
666,"A","666.A","femalereceive",86,26,25,126.8194492,41.6822562333333
666,"A","666.A","femalereceive",87,27,26,30.8124562,40.2378112333333
666,"A","666.A","femalereceive",88,28,27,-8.15457679999997,77.1405892333333
666,"A","666.A","femalereceive",89,29,28,50.5239942000001,39.5711452333334
666,"A","666.A","femalereceive",90,30,29,34.3509172,-16.3177437666667
666,"A","666.A","malereceive",91,1,0,73.8893792,-185.762188766667
666,"A","666.A","malereceive",92,2,1,150.9103582,92.0155892333333
666,"A","666.A","malereceive",93,3,2,148.9103582,51.1405892333333
666,"A","666.A","malereceive",94,4,3,118.9103582,3.11558923333337
666,"A","666.A","malereceive",95,5,4,143.5239942,-20.8594107666667
666,"A","666.A","malereceive",96,6,5,-8.95677479999995,-38.4844107666667
666,"A","666.A","malereceive",97,7,6,139.9103582,24.3489222333334
666,"A","666.A","malereceive",98,8,7,79.1073272000001,-42.7344107666667
666,"A","666.A","malereceive",99,9,8,172.8194492,-47.2066327666666
666,"A","666.A","malereceive",100,10,9,41.6586092000001,-1.20663276666664
666,"A","666.A","malereceive",101,11,10,41.6586092000001,-66.3844107666666
666,"A","666.A","malereceive",102,12,11,59.1073272000001,-121.584410766667
666,"A","666.A","malereceive",103,13,12,67.7739942000001,46.1267002333334
666,"A","666.A","malereceive",104,14,13,68.0432252000001,-26.9844107666667
666,"A","666.A","malereceive",105,15,14,111.9103582,-30.0955217666667
666,"A","666.A","malereceive",106,16,15,116.1073272,121.301303233333
666,"A","666.A","malereceive",107,17,16,100.5239942,-34.4288547666666
666,"A","666.A","malereceive",108,18,17,94.2739942000001,-26.6510777666666
666,"A","666.A","malereceive",109,19,18,117.5467212,-9.76218876666667
666,"A","666.A","malereceive",110,20,19,96.2739942000001,-20.5399667666667
666,"A","666.A","malereceive",111,21,20,50.3509172,46.7933672333334
666,"A","666.A","malereceive",112,22,21,56.9406612,21.3489222333334
666,"A","666.A","malereceive",113,23,22,44.1201482,-34.3844107666666
666,"A","666.A","malereceive",114,24,23,9.58168620000004,12.8905892333333
666,"A","666.A","malereceive",115,25,24,-15.2974347999999,44.9044782333333
666,"A","666.A","malereceive",116,26,25,-43.4593388,33.6822562333333
666,"A","666.A","malereceive",117,27,26,-14.5831487999999,4.12670023333339
666,"A","666.A","malereceive",118,28,27,-19.0831487999999,-77.0844107666667
666,"A","666.A","malereceive",119,29,28,11.2739942000001,-42.5844107666667
666,"A","666.A","malereceive",120,30,29,35.9663022000001,6.72987523333336
666,"B","666.B","goal",31,1,0,-100.075319766667,-8.72600579999994
666,"B","666.B","goal",32,2,1,-30.5844107666667,-18.4402918
666,"B","666.B","goal",33,3,2,-42.4844107666667,22.7355322000001
666,"B","666.B","goal",34,4,3,-45.1844107666667,-37.6545768
666,"B","666.B","goal",35,5,4,102.015589233333,-15.4402918
666,"B","666.B","goal",36,6,5,14.4600332333333,32.8893792
666,"B","666.B","goal",37,7,6,-44.2844107666666,-4.65457679999997
666,"B","666.B","goal",38,8,7,-25.5399667666667,39.6586092000001
666,"B","666.B","goal",39,9,8,-22.8732997666666,50.9663022000001
666,"B","666.B","goal",40,10,9,-166.151077766667,-37.6545768
666,"B","666.B","goal",41,11,10,-2.31774376666669,10.9663022000001
666,"B","666.B","goal",42,12,11,-57.8844107666666,61.7739942000001
666,"B","666.B","goal",43,13,12,-43.0844107666667,41.7355322000001
666,"B","666.B","goal",44,14,13,-81.3844107666666,20.9663022000001
666,"B","666.B","goal",45,15,14,-12.3844107666666,28.6586092000001
666,"B","666.B","goal",46,16,15,27.1267002333334,-12.4402918
666,"B","666.B","goal",47,17,16,-190.620774766667,-17.5117197999999
